C,balanced,calibrated,split,auc,acc_all,brier,acc_0.52,n_0.52,cov_0.52,acc_0.55,n_0.55,cov_0.55,acc_0.58,n_0.58,cov_0.58,acc_0.60,n_0.60,cov_0.60
0.25,False,False,test,0.5246257871193254,0.5152553358951804,0.2500372943376713,0.5226206188590703,27276,0.6314181212093153,0.5374877089478859,8136,0.1883420528728182,0.5234782608695652,1725,0.039932404277975835,0.5619047619047619,735,0.017014676605398397
0.5,True,True,val,0.5435922570776008,0.5345499440564837,0.24883382266409457,0.5537207579125648,9447,0.3644816543848142,0.6635220125786163,318,0.01226899185925383,0.75,8,0.0003086538832516687,,0,0.0
0.5,True,True,test,0.5245336001173072,0.514514560859299,0.24965017374645693,0.5293493437587267,17905,0.4144867817954535,0.5231053604436229,1623,0.037571183851104216,0.6568627450980392,204,0.0047224408537432285,0.7014925373134329,67,0.0015509977313764526
0.5,True,False,val,0.543879162666055,0.5337783093483545,0.24853798399484378,0.5449561403508771,15504,0.5981712257417339,0.5647442872687704,3676,0.14182645935414176,0.6410256410256411,390,0.015046876808518846,0.6483516483516484,91,0.003510937921987731
0.5,True,False,test,0.5246340676844943,0.515949812491319,0.2500179985531932,0.5229623651969775,27262,0.6310940321311171,0.5368987883979929,8171,0.18915227556831335,0.5224489795918368,1715,0.03970091207926293,0.562585969738652,727,0.016829482846428077
0.5,False,True,val,0.5435770022863252,0.5345113623210772,0.2488343474977193,0.5540497617787189,9445,0.3644044909140013,0.6635220125786163,318,0.01226899185925383,0.75,8,0.0003086538832516687,,0,0.0
0.5,False,True,test,0.5245353553653788,0.5144451131996852,0.24965009688956463,0.5293821638244339,17885,0.4140237973980277,0.5231338679827268,1621,0.03752488541136164,0.6600985221674877,203,0.004699291633871939,0.7014925373134329,67,0.0015509977313764526
0.5,False,False,val,0.5438731250554564,0.5344727805856707,0.24853516963497937,0.545401779956146,15506,0.5982483892125467,0.5658469945355191,3660,0.14120915158763842,0.6463104325699746,393,0.015162622014738223,0.6597938144329897,97,0.0037424283344264825
0.5,False,False,test,0.52464717410897,0.5154173804342793,0.2500388148660858,0.5230628320205166,27295,0.6318579563868698,0.5371477369769427,8197,0.1897541552849669,0.5239193083573487,1735,0.040163896476688735,0.561141304347826,736,0.01703782582526969
1.0,True,True,val,0.5436024983894644,0.5348200162043288,0.24883243314632883,0.5538152185416446,9449,0.36455881785562716,0.6625,320,0.012346155330066746,0.75,8,0.0003086538832516687,,0,0.0
1.0,True,True,test,0.5245354154472198,0.5143756655400713,0.24965038624673833,0.5294019098676496,17907,0.4145330802351961,0.5222222222222223,1620,0.037501736191490345,0.6553398058252428,206,0.00476873929348581,0.7014925373134329,67,0.0015509977313764526
